نمبر شمار,کتاب کا نام,درجہ / شعبہ,مضمون,قسم,مصنف / شارح,PDF لنک
1,فتح المنعم شرح مقدمہ مسلم,درجہ ثامنہ,حدیث,اردو شرح مقدمہ,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDoraeHadees8thYear01/FATHUL_MUNIM_SHARH_MUQADDIMA_E_MUSLIM.pdf
2,فیض المنعم اردو شرح مقدمہ صحیح مسلم,درجہ ثامنہ,حدیث,اردو شرح مقدمہ,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDoraeHadees8thYear01/FAIZ_UL_MUNIM_URDU_SHARHA_MUQADDIMAH_E_MUSLIM.pdf
3,نعمۃ المنعم فی شرح صحیح مسلم (جلد اول),درجہ ثامنہ,حدیث,اردو درسی شرح,مولانا نعمت اللہ اعظمیؒ,https://archive.org/download/DarsENizamiDoraeHadees8thYear01/NIMAT_UL_MUNIM_VOL_01.pdf
4,نعمۃ المنعم فی شرح صحیح مسلم (جلد دوم),درجہ ثامنہ,حدیث,اردو درسی شرح,مولانا نعمت اللہ اعظمیؒ,https://archive.org/download/DarsENizamiDoraeHadees8thYear01/NIMAT_UL_MUNIM_VOL_02.pdf
5,روضۃ المسلم اردو شرح مقدمہ صحیح مسلم,درجہ ثامنہ,حدیث,اردو شرح مقدمہ,مولانا عاشق الٰہی بلند شہریؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/RAOZA-TUL-MUSLIM-URDU-SHARH-MUQADDEMA-MUSLIM.pdf
6,درسِ مسلم اردو شرح صحیح مسلم (جلد اول),درجہ ثامنہ,حدیث,اردو دروس و افادات,مولانا مفتی محمد تقی عثمانی مدظلہم,https://archive.org/download/besturdubooks5/Dars-e-Muslim-01.pdf
7,درسِ مسلم اردو شرح صحیح مسلم (جلد دوم),درجہ ثامنہ,حدیث,اردو دروس و افادات,مولانا مفتی محمد تقی عثمانی مدظلہم,https://archive.org/download/besturdubooks5/Dars-e-Muslim-02.pdf
8,تفہیم المسلم اردو شرح صحیح مسلم (جلد اول),درجہ ثامنہ,حدیث,اردو شرح,مولانا غلام رسول رضویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/TafheemUlMuslimUrduSharhAlSahihUlMuslimVol1.pdf
9,تفہیم المسلم اردو شرح صحیح مسلم (جلد دوم),درجہ ثامنہ,حدیث,اردو شرح,مولانا غلام رسول رضویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/TafheemUlMuslimUrduSharhAlSahihUlMuslimVol2.pdf
10,تفہیم المسلم اردو شرح صحیح مسلم (جلد سوم),درجہ ثامنہ,حدیث,اردو شرح,مولانا غلام رسول رضویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/TafheemUlMuslimUrduSharhAlSahihUlMuslimVol3.pdf
11,نفع المسلم فی شرح صحیح مسلم,درجہ ثامنہ,حدیث,اردو شرح,مولانا مفتی عبد الرؤف سکھرویؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear/NafUlMuslimUrduSharhAlSahihUlMuslim.pdf
12,مغنی المحتاج شرح مقدمہ صحیح مسلم,درجہ ثامنہ,حدیث,اردو شرح مقدمہ,مولانا مفتی کفایت اللہ دہلویؒ,https://archive.org/download/maulanakaa/MUGHNI_AL_MUHTAJ_SHARH_MUQADDIMA_E_MUSLIM.pdf
13,ایضاح المسلم اردو شرح صحیح مسلم (جلد اول),درجہ ثامنہ,حدیث,اردو شرح,مولانا عاشق الٰہی بلند شہریؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear03/IZAH_UL_MUSLIM_SHARH_SAHIH_MUSLIM_VOL_01.pdf
14,ایضاح المسلم اردو شرح صحیح مسلم (جلد دوم),درجہ ثامنہ,حدیث,اردو شرح,مولانا عاشق الٰہی بلند شہریؒ,https://archive.org/download/DarsENizamiDoraEHadees8thYear03/IZAH_UL_MUSLIM_SHARH_SAHIH_MUSLIM_VOL_02.pdf
